tax_id	taxon_name	min_seq_len	max_seq_len	vadr_min_ram_gb	vadr_opts	vadr_model_tar_url	vadr_model_tar_subdir
11308	Orthomyxoviridae		15000	8	--mkey flu -r --atgonly --xnocomp --nomisc --alt_fail extrant5,extrant3	https://ftp.ncbi.nlm.nih.gov/pub/nawrocki/vadr-models/flu/1.6.3-2/vadr-models-flu-1.6.3-2.tar.gz	
11983	Norovirus		9000		--group Norovirus --nomisc --noprotid	https://ftp.ncbi.nlm.nih.gov/pub/nawrocki/vadr-models/caliciviridae/1.2-1/vadr-models-calici-1.2-1.tar.gz	
11974	Caliciviridae		10000		--nomisc --noprotid	https://ftp.ncbi.nlm.nih.gov/pub/nawrocki/vadr-models/caliciviridae/1.2-1/vadr-models-calici-1.2-1.tar.gz	
3052464	Dengue virus		12000	8	--mkey flavi --group Dengue --nomisc --noprotid	https://ftp.ncbi.nlm.nih.gov/pub/nawrocki/vadr-models/flaviviridae/1.2-1/vadr-models-flavi-1.2-1.tar.gz	
11050	Flaviviridae		14000		--mkey flavi --nomisc --noprotid	https://ftp.ncbi.nlm.nih.gov/pub/nawrocki/vadr-models/flaviviridae/1.2-1/vadr-models-flavi-1.2-1.tar.gz	
2697049	SARS-CoV-2		32000	8	--mkey sarscov2 --glsearch -s -r --nomisc --lowsim5seq 6 --lowsim3seq 6 --alt_fail lowscore,insertnn,deletinn	https://ftp.ncbi.nlm.nih.gov/pub/nawrocki/vadr-models/sarscov2/1.3-2/vadr-models-sarscov2-1.3-2.tar.gz	
11118	Coronaviridae		32000	8	--mkey corona --glsearch -s -r --nomisc --lowsim5seq 6 --lowsim3seq 6 --alt_fail lowscore,insertnn,deletinn	https://ftp.ncbi.nlm.nih.gov/pub/nawrocki/vadr-models/coronaviridae/1.3-3/vadr-models-corona-1.3-3.tar.gz	
1868215	Orthopneumovirus		16000	16	--mkey rsv --xnocomp -r	https://ftp.ncbi.nlm.nih.gov/pub/nawrocki/vadr-models/rsv/1.5-2/vadr-models-rsv-1.5-2.tar.gz	
10244	MPXV		230000	32	--mkey mpxv --glsearch --minimap2 -s -r --nomisc --r_lowsimok --r_lowsimxd 100 --r_lowsimxl 2000 --alt_pass discontn,dupregin --s_overhang 150	https://ftp.ncbi.nlm.nih.gov/pub/nawrocki/vadr-models/mpxv/1.4.2-1/vadr-models-mpxv-1.4.2-1.tar.gz	
3048148	hMPV		14000	16	--mkey hmpv -r	https://github.com/greninger-lab/vadr-models-hmpv/archive/refs/tags/v1.0.tar.gz	hmpv
3050292	HHV1		170000	32	--mkey NC_001806.vadr -s --glsearch -r --alt_pass dupregin,discontn,indfstrn,indfstrp --alt_mnf_yes insertnp --r_lowsimok --nmiscftrthr 10 -f --keep	https://github.com/greninger-lab/vadr-models-hsv/archive/refs/tags/v1.0.tar.gz	hsv1
3050293	HHV2		170000	32	--mkey NC_001798.vadr -s --glsearch -r --alt_pass dupregin,discontn,indfstrn,indfstrp --alt_mnf_yes insertnp --r_lowsimok --nmiscftrthr 10 -f --keep	https://github.com/greninger-lab/vadr-models-hsv/archive/refs/tags/v1.0.tar.gz	hsv2
12730	HPIV-1		18000		-r --mkey hpiv1	https://github.com/greninger-lab/vadr-models-hpiv/archive/refs/tags/v1.0.tar.gz	hpiv1
2560525	HPIV-2		18000		-r --mkey hpiv2	https://github.com/greninger-lab/vadr-models-hpiv/archive/refs/tags/v1.0.tar.gz	hpiv2
11216	HPIV-3		18000		-r --mkey hpiv3	https://github.com/greninger-lab/vadr-models-hpiv/archive/refs/tags/v1.0.tar.gz	hpiv3
11224	HPIV-4		18000		-r --mkey hpiv4	https://github.com/greninger-lab/vadr-models-hpiv/archive/refs/tags/v1.0.tar.gz	hpiv4
